username,repo_name,stars,repo_url
vercel,next.js,123000,https://github.com/vercel/next.js
rust-lang,rust,95300,https://github.com/rust-lang/rust
sveltejs,svelte,77600,https://github.com/sveltejs/svelte
webpack,webpack,64400,https://github.com/webpack/webpack
FuelLabs,sway,62900,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55200,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,48400,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43300,https://github.com/parcel-bundler/parcel
babel,babel,43100,https://github.com/babel/babel
evanw,esbuild,37700,https://github.com/evanw/esbuild
vlang,v,35600,https://github.com/vlang/v
ziglang,zig,32700,https://github.com/ziglang/zig
markedjs,marked,32400,https://github.com/markedjs/marked
carbon-language,carbon-lang,32299,https://github.com/carbon-language/carbon-lang
typst,typst,31300,https://github.com/typst/typst
swc-project,swc,30600,https://github.com/swc-project/swc
vercel,pkg,24300,https://github.com/vercel/pkg
v8,v8,23000,https://github.com/v8/v8
oracle,graal,20000,https://github.com/oracle/graal
crystal-lang,crystal,19300,https://github.com/crystal-lang/crystal
