username,repo_name,stars,repo_url
localstack,localstack,53100,https://github.com/localstack/localstack
harness,gitness,31900,https://github.com/harness/gitness
jenkinsci,jenkins,22800,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,14100,https://github.com/auchenberg/volkswagen
dagger,dagger,10700,https://github.com/dagger/dagger
milanm,DevOps-Roadmap,10700,https://github.com/milanm/DevOps-Roadmap
openshift,origin,8500,https://github.com/openshift/origin
concourse,concourse,7300,https://github.com/concourse/concourse
gocd,gocd,7100,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
Flagsmith,flagsmith,4600,https://github.com/Flagsmith/flagsmith
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4500,https://github.com/jenkins-x/jx
ovh,cds,4500,https://github.com/ovh/cds
TheLartians,ModernCppStarter,4200,https://github.com/TheLartians/ModernCppStarter
JamesIves,github-pages-deploy-action,4200,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,4000,https://github.com/werf/werf
iterative,cml,4000,https://github.com/iterative/cml
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
